survey_Id;Country;D9_3_1_O_college_area_other;D9_3_1_O_college_area_other_spelling;D9_3_1_O_college_area_other_translate_es;D9_3_2_O_master_area_other;D9_3_2_O_master_area_other_spelling;D9_3_2_O_master_area_other_translate_es;D9_3_3_O_doctorate_area_other;D9_3_3_O_doctorate_area_other_spelling;D9_3_3_O_doctorate_area_other_translate_es;D9_3_4_O_postdoc_area_other;D9_3_4_O_postdoc_area_other_spelling;D9_3_4_O_postdoc_area_other_translate_es
BOL00101;Bolivia;INGIENERIA MECANICA;Ingieneria Mecanica;Ingieneria Mecanica;;;;;;;;;
BOL00102;Bolivia;;;;;;;;;;;;
BOL00103;Bolivia;;;;;;;;;;;;
BOL00104;Bolivia;;;;;;;;;;;;
BOL00105;Bolivia;;;;;;;;;;;;
BOL00106;Bolivia;;;;;;;;;;;;
BOL00107;Bolivia;;;;;;;;;;;;
BOL00108;Bolivia;;;;;;;;;;;;
BOL00109;Bolivia;;;;;;;;;;;;
BOL00110;Bolivia;;;;;;;;;;;;
BOL00111;Bolivia;;;;;;;;;;;;
BOL00112;Bolivia;;;;;;;;;;;;
BOL00113;Bolivia;;;;;;;;;;;;
BOL00114;Bolivia;;;;;;;;;;;;
BOL00115;Bolivia;;;;;;;;;;;;
BOL00116;Bolivia;;;;;;;;;;;;
BOL00117;Bolivia;;;;;;;;;;;;
BOL00118;Bolivia;;;;;;;;;;;;
BOL00119;Bolivia;;;;;;;;;;;;
BOL00120;Bolivia;;;;;;;;;;;;
BOL00121;Bolivia;;;;;;;;;;;;
BOL00122;Bolivia;;;;;;;;;;;;
BOL00123;Bolivia;;;;;;;;;;;;
BOL00124;Bolivia;;;;;;;;;;;;
BOL00125;Bolivia;;;;;;;;;;;;
BOL00126;Bolivia;;;;;;;;;;;;
BOL00127;Bolivia;;;;;;;;;;;;
BOL00128;Bolivia;;;;;;;;;;;;
BOL00129;Bolivia;;;;;;;;;;;;
BOL00130;Bolivia;;;;;;;;;;;;
BOL00131;Bolivia;;;;;;;;;;;;
BOL00132;Bolivia;;;;;;;;;;;;
BOL00133;Bolivia;;;;;;;;;;;;
BOL00134;Bolivia;;;;;;;;;;;;
BOL00135;Bolivia;;;;;;;;;;;;
BOL00136;Bolivia;;;;;;;;;;;;
BOL00137;Bolivia;;;;;;;;;;;;
BOL00138;Bolivia;;;;;;;;;;;;
BOL00139;Bolivia;DERECHO;Derecho;Derecho;;;;;;;;;
BOL00140;Bolivia;;;;;;;;;;;;
BOL00141;Bolivia;;;;;;;;;;;;
BOL00142;Bolivia;ARQUITECTO;Arquitecto;Arquitecto;;;;;;;;;
BOL00143;Bolivia;;;;;;;;;;;;
BOL00144;Bolivia;;;;;;;;;;;;
BOL00145;Bolivia;;;;;;;;;;;;
BOL00146;Bolivia;;;;;;;;;;;;
BOL00147;Bolivia;;;;;;;;;;;;
BOL00148;Bolivia;;;;;;;;;;;;
BOL00149;Bolivia;;;;;;;;;;;;
BOL00150;Bolivia;;;;;;;;;;;;
BOL00151;Bolivia;;;;;;;;;;;;
BOL00152;Bolivia;;;;;;;;;;;;
BOL00153;Bolivia;;;;;;;;;;;;
BOL00154;Bolivia;;;;;;;;;;;;
BOL00155;Bolivia;;;;;;;;;;;;
BOL00156;Bolivia;;;;;;;;;;;;
BOL00157;Bolivia;;;;;;;;;;;;
BOL00158;Bolivia;;;;;;;;;;;;
BOL00159;Bolivia;;;;;;;;;;;;
BOL00160;Bolivia;;;;;;;;;;;;
BOL00161;Bolivia;;;;;;;;;;;;
BOL00162;Bolivia;;;;;;;;;;;;
BOL00163;Bolivia;;;;;;;;;;;;
BOL00164;Bolivia;;;;;;;;;;;;
BOL00165;Bolivia;;;;;;;;;;;;
BOL00166;Bolivia;;;;;;;;;;;;
BOL00167;Bolivia;;;;;;;;;;;;
BOL00168;Bolivia;;;;;;;;;;;;
BOL00169;Bolivia;;;;;;;;;;;;
BOL00170;Bolivia;;;;;;;;;;;;
BOL00171;Bolivia;;;;;;;;;;;;
BOL00172;Bolivia;;;;;;;;;;;;
BOL00173;Bolivia;;;;;;;;;;;;
BOL00174;Bolivia;;;;;;;;;;;;
BOL00175;Bolivia;;;;;;;;;;;;
BOL00176;Bolivia;;;;;;;;;;;;
BOL00177;Bolivia;;;;;;;;;;;;
BOL00178;Bolivia;;;;;;;;;;;;
BOL00179;Bolivia;;;;;;;;;;;;
BOL00180;Bolivia;;;;;;;;;;;;
BOL00181;Bolivia;;;;;;;;;;;;
BOL00182;Bolivia;;;;;;;;;;;;
BOL00183;Bolivia;;;;;;;;;;;;
BOL00184;Bolivia;;;;;;;;;;;;
BOL00185;Bolivia;;;;;;;;;;;;
BOL00186;Bolivia;;;;;;;;;;;;
BOL00187;Bolivia;;;;;;;;;;;;
BOL00188;Bolivia;;;;;;;;;;;;
BOL00189;Bolivia;;;;;;;;;;;;
BOL00190;Bolivia;;;;;;;;;;;;
BOL00191;Bolivia;;;;;;;;;;;;
BOL00192;Bolivia;;;;;;;;;;;;
BOL00193;Bolivia;;;;;;;;;;;;
BOL00194;Bolivia;;;;;;;;;;;;
BOL00195;Bolivia;;;;;;;;;;;;
BOL00196;Bolivia;;;;;;;;;;;;
BOL00197;Bolivia;;;;;;;;;;;;
BOL00198;Bolivia;;;;;;;;;;;;
BOL00199;Bolivia;;;;;;;;;;;;
BOL00200;Bolivia;;;;;;;;;;;;
BOL00201;Bolivia;;;;;;;;;;;;
BOL00202;Bolivia;;;;;;;;;;;;
BOL00203;Bolivia;;;;;;;;;;;;
BOL00204;Bolivia;;;;;;;;;;;;
BOL00205;Bolivia;;;;;;;;;;;;
BOL00206;Bolivia;;;;;;;;;;;;
BOL00207;Bolivia;;;;;;;;;;;;
BOL00208;Bolivia;;;;;;;;;;;;
BOL00209;Bolivia;;;;;;;;;;;;
BOL00210;Bolivia;;;;;;;;;;;;
BOL00211;Bolivia;;;;;;;;;;;;
BOL00212;Bolivia;;;;;;;;;;;;
BOL00213;Bolivia;;;;;;;;;;;;
BOL00214;Bolivia;;;;;;;;;;;;
BOL00215;Bolivia;;;;;;;;;;;;
BOL00216;Bolivia;;;;;;;;;;;;
BOL00217;Bolivia;;;;;;;;;;;;
BOL00218;Bolivia;;;;;;;;;;;;
BOL00219;Bolivia;;;;;;;;;;;;
BOL00220;Bolivia;;;;;;;;;;;;
BOL00221;Bolivia;;;;;;;;;;;;
BOL00222;Bolivia;;;;;;;;;;;;
BOL00223;Bolivia;;;;;;;;;;;;
BOL00224;Bolivia;;;;;;;;;;;;
BOL00225;Bolivia;;;;;;;;;;;;
BOL00226;Bolivia;;;;;;;;;;;;
BOL00227;Bolivia;;;;;;;;;;;;
BOL00228;Bolivia;;;;;;;;;;;;
BOL00229;Bolivia;;;;;;;;;;;;
BOL00230;Bolivia;;;;;;;;;;;;
BOL00231;Bolivia;;;;;;;;;;;;
BOL00232;Bolivia;;;;;;;;;;;;
BOL00233;Bolivia;;;;;;;;;;;;
BOL00234;Bolivia;;;;;;;;;;;;
BOL00235;Bolivia;;;;;;;;;;;;
BOL00236;Bolivia;;;;;;;;;;;;
BOL00237;Bolivia;;;;;;;;;;;;
BOL00238;Bolivia;;;;;;;;;;;;
BOL00239;Bolivia;;;;;;;;;;;;
BOL00240;Bolivia;;;;;;;;;;;;
BOL00241;Bolivia;;;;;;;;;;;;
BOL00242;Bolivia;;;;;;;;;;;;
BOL00243;Bolivia;;;;;;;;;;;;
BOL00244;Bolivia;;;;;;;;;;;;
BOL00245;Bolivia;;;;;;;;;;;;
BOL00246;Bolivia;;;;;;;;;;;;
BOL00247;Bolivia;;;;;;;;;;;;
BOL00248;Bolivia;;;;;;;;;;;;
BOL00249;Bolivia;;;;;;;;;;;;
BOL00250;Bolivia;;;;;;;;;;;;
BOL00251;Bolivia;;;;;;;;;;;;
BOL00252;Bolivia;;;;;;;;;;;;
BOL00253;Bolivia;;;;;;;;;;;;
BOL00254;Bolivia;;;;;;;;;;;;
BOL00255;Bolivia;;;;;;;;;;;;
BOL00256;Bolivia;;;;;;;;;;;;
BOL00257;Bolivia;;;;;;;;;;;;
BOL00258;Bolivia;;;;;;;;;;;;
BOL00259;Bolivia;;;;;;;;;;;;
BOL00260;Bolivia;;;;;;;;;;;;
BOL00261;Bolivia;;;;;;;;;;;;
BOL00262;Bolivia;;;;;;;;;;;;
BOL00263;Bolivia;;;;;;;;;;;;
BOL00264;Bolivia;;;;;;;;;;;;
BOL00265;Bolivia;;;;;;;;;;;;
BOL00266;Bolivia;;;;;;;;;;;;
BOL00267;Bolivia;;;;;;;;;;;;
BOL00268;Bolivia;;;;;;;;;;;;
BOL00269;Bolivia;;;;;;;;;;;;
BOL00270;Bolivia;;;;;;;;;;;;
BOL00271;Bolivia;;;;;;;;;;;;
BOL00272;Bolivia;;;;;;;;;;;;
BOL00273;Bolivia;;;;;;;;;;;;
BOL00274;Bolivia;;;;;;;;;;;;
BOL00275;Bolivia;;;;;;;;;;;;
BOL00276;Bolivia;;;;;;;;;;;;
BOL00277;Bolivia;;;;;;;;;;;;
BOL00278;Bolivia;;;;;;;;;;;;
BOL00279;Bolivia;;;;;;;;;;;;
BOL00280;Bolivia;;;;;;;;;;;;
BOL00281;Bolivia;;;;;;;;;;;;
BOL00282;Bolivia;;;;;;;;;;;;
BOL00283;Bolivia;;;;;;;;;;;;
BOL00284;Bolivia;;;;;;;;;;;;
BOL00285;Bolivia;;;;;;;;;;;;
BOL00286;Bolivia;;;;;;;;;;;;
BOL00287;Bolivia;;;;;;;;;;;;
BOL00288;Bolivia;;;;;;;;;;;;
BOL00289;Bolivia;;;;;;;;;;;;
BOL00290;Bolivia;;;;;;;;;;;;
BOL00291;Bolivia;;;;;;;;;;;;
BOL00292;Bolivia;;;;;;;;;;;;
BOL00293;Bolivia;;;;;;;;;;;;
BOL00294;Bolivia;;;;;;;;;;;;
BOL00295;Bolivia;;;;;;;;;;;;
BOL00296;Bolivia;;;;;;;;;;;;
BOL00297;Bolivia;;;;;;;;;;;;
BOL00298;Bolivia;;;;;;;;;;;;
BOL00299;Bolivia;;;;;;;;;;;;
BOL00300;Bolivia;;;;;;;;;;;;
BOL00301;Bolivia;;;;;;;;;;;;
BOL00302;Bolivia;;;;;;;;;;;;
BOL00303;Bolivia;;;;;;;;;;;;
BOL00304;Bolivia;;;;;;;;;;;;
BOL00305;Bolivia;;;;;;;;;;;;
BOL00306;Bolivia;;;;;;;;;;;;
BOL00307;Bolivia;;;;;;;;;;;;
BOL00308;Bolivia;;;;;;;;;;;;
BOL00309;Bolivia;;;;;;;;;;;;
BOL00310;Bolivia;;;;;;;;;;;;
BOL00311;Bolivia;;;;;;;;;;;;
BOL00312;Bolivia;;;;;;;;;;;;
BOL00313;Bolivia;;;;;;;;;;;;
BOL00314;Bolivia;;;;;;;;;;;;
BOL00315;Bolivia;;;;;;;;;;;;
BOL00316;Bolivia;;;;;;;;;;;;
BOL00317;Bolivia;;;;;;;;;;;;
BOL00318;Bolivia;;;;;;;;;;;;
BOL00319;Bolivia;;;;;;;;;;;;
BOL00320;Bolivia;;;;;;;;;;;;
BOL00321;Bolivia;;;;;;;;;;;;
BOL00322;Bolivia;;;;;;;;;;;;
BOL00323;Bolivia;;;;;;;;;;;;
BOL00324;Bolivia;;;;;;;;;;;;
BOL00325;Bolivia;;;;;;;;;;;;
BOL00326;Bolivia;;;;;;;;;;;;
BOL00327;Bolivia;;;;;;;;;;;;
BOL00328;Bolivia;CONTADOR;Contador;Contador;;;;;;;;;
BOL00329;Bolivia;;;;;;;;;;;;
BOL00330;Bolivia;;;;;;;;;;;;
BOL00331;Bolivia;;;;;;;;;;;;
BOL00332;Bolivia;;;;;;;;;;;;
BOL00333;Bolivia;;;;;;;;;;;;
BOL00334;Bolivia;;;;;;;;;;;;
BOL00335;Bolivia;;;;;;;;;;;;
BOL00336;Bolivia;;;;;;;;;;;;
BOL00337;Bolivia;;;;;;;;;;;;
BOL00338;Bolivia;;;;;;;;;;;;
BOL00339;Bolivia;;;;;;;;;;;;
BOL00340;Bolivia;;;;;;;;;;;;
BOL00341;Bolivia;;;;;;;;;;;;
BOL00342;Bolivia;;;;;;;;;;;;
BOL00343;Bolivia;;;;;;;;;;;;
BOL00344;Bolivia;;;;;;;;;;;;
BOL00345;Bolivia;;;;;;;;;;;;
BOL00346;Bolivia;;;;;;;;;;;;
BOL00347;Bolivia;;;;;;;;;;;;
BOL00348;Bolivia;;;;;;;;;;;;
BOL00349;Bolivia;;;;;;;;;;;;
BOL00350;Bolivia;;;;;;;;;;;;
BOL00351;Bolivia;;;;;;;;;;;;
BOL00352;Bolivia;;;;;;;;;;;;
BOL00353;Bolivia;;;;;;;;;;;;
BOL00354;Bolivia;;;;;;;;;;;;
BOL00355;Bolivia;;;;;;;;;;;;
BOL00356;Bolivia;;;;;;;;;;;;
BOL00357;Bolivia;;;;;;;;;;;;
BOL00358;Bolivia;;;;;;;;;;;;
BOL00359;Bolivia;;;;;;;;;;;;
BOL00360;Bolivia;;;;;;;;;;;;
BOL00361;Bolivia;;;;;;;;;;;;
BOL00362;Bolivia;;;;;;;;;;;;
BOL00363;Bolivia;;;;;;;;;;;;
BOL00364;Bolivia;;;;;;;;;;;;
BOL00365;Bolivia;;;;;;;;;;;;
BOL00366;Bolivia;;;;;;;;;;;;
BOL00367;Bolivia;;;;;;;;;;;;
BOL00368;Bolivia;;;;;;;;;;;;
BOL00369;Bolivia;DERECHO;Derecho;Derecho;;;;;;;;;
BOL00370;Bolivia;;;;;;;;;;;;
BOL00371;Bolivia;;;;;;;;;;;;
BOL00372;Bolivia;DERECHO;Derecho;Derecho;;;;;;;;;
BOL00373;Bolivia;;;;;;;;;;;;
BOL00374;Bolivia;;;;;;;;;;;;
BOL00375;Bolivia;;;;;;;;;;;;
BOL00376;Bolivia;;;;;;;;;;;;
BOL00377;Bolivia;;;;;;;;;;;;
BOL00378;Bolivia;;;;;;;;;;;;
BOL00379;Bolivia;;;;;;;;;;;;
BOL00380;Bolivia;;;;;;;;;;;;
BOL00381;Bolivia;;;;;;;;;;;;
BOL00382;Bolivia;;;;;;;;;;;;
BOL00383;Bolivia;;;;;;;;;;;;
BOL00384;Bolivia;;;;;;;;;;;;
BOL00385;Bolivia;;;;;;;;;;;;
BOL00386;Bolivia;;;;;;;;;;;;
BOL00387;Bolivia;;;;;;;;;;;;
BOL00388;Bolivia;;;;;;;;;;;;
BOL00389;Bolivia;;;;;;;;;;;;
BOL00390;Bolivia;;;;;;;;;;;;
BOL00391;Bolivia;;;;;;;;;;;;
BOL00392;Bolivia;;;;;;;;;;;;
BOL00393;Bolivia;;;;;;;;;;;;
BOL00394;Bolivia;;;;;;;;;;;;
BOL00395;Bolivia;;;;;;;;;;;;
BOL00396;Bolivia;;;;;;;;;;;;
BOL00397;Bolivia;;;;;;;;;;;;
BOL00398;Bolivia;;;;;;;;;;;;
BOL00399;Bolivia;;;;;;;;;;;;
BOL00400;Bolivia;;;;;;;;;;;;
BOL00401;Bolivia;;;;;;;;;;;;
BOL00402;Bolivia;;;;;;;;;;;;
BOL00403;Bolivia;;;;;;;;;;;;
BOL00404;Bolivia;;;;;;;;;;;;
BOL00405;Bolivia;;;;;;;;;;;;
BOL00406;Bolivia;;;;;;;;;;;;
BOL00407;Bolivia;DERECHO;Derecho;Derecho;;;;;;;;;
BOL00408;Bolivia;;;;;;;;;;;;
BOL00409;Bolivia;;;;;;;;;;;;
BOL00410;Bolivia;;;;;;;;;;;;
BOL00411;Bolivia;;;;;;;;;;;;
BOL00412;Bolivia;;;;;;;;;;;;
BOL00413;Bolivia;;;;;;;;;;;;
BOL00414;Bolivia;;;;;;;;;;;;
BOL00415;Bolivia;;;;;;;;;;;;
BOL00416;Bolivia;;;;;;;;;;;;
BOL00417;Bolivia;;;;;;;;;;;;
BOL00418;Bolivia;;;;;;;;;;;;
BOL00419;Bolivia;;;;;;;;;;;;
BOL00420;Bolivia;;;;;;;;;;;;
BOL00421;Bolivia;;;;;;;;;;;;
BOL00422;Bolivia;;;;;;;;;;;;
BOL00423;Bolivia;;;;;;;;;;;;
BOL00424;Bolivia;;;;;;;;;;;;
BOL00425;Bolivia;;;;;;;;;;;;
BOL00426;Bolivia;;;;;;;;;;;;
BOL00427;Bolivia;;;;;;;;;;;;
BOL00428;Bolivia;;;;;;;;;;;;
BOL00429;Bolivia;;;;;;;;;;;;
BOL00430;Bolivia;;;;;;;;;;;;
BOL00431;Bolivia;;;;;;;;;;;;
BOL00432;Bolivia;ARQUITECTURA;Arquitectura;Arquitectura;;;;;;;;;
BOL00433;Bolivia;;;;;;;;;;;;
BOL00434;Bolivia;;;;;;;;;;;;
BOL00435;Bolivia;;;;;;;;;;;;
BOL00436;Bolivia;;;;;;;;;;;;
BOL00437;Bolivia;;;;;;;;;;;;
BOL00438;Bolivia;;;;;;;;;;;;
BOL00439;Bolivia;;;;;;;;;;;;
BOL00440;Bolivia;;;;;;;;;;;;
BOL00441;Bolivia;;;;;;;;;;;;
BOL00442;Bolivia;;;;;;;;;;;;
BOL00443;Bolivia;;;;;;;;;;;;
BOL00444;Bolivia;;;;;;;;;;;;
BOL00445;Bolivia;;;;;;;;;;;;
BOL00446;Bolivia;;;;;;;;;;;;
BOL00447;Bolivia;;;;;;;;;;;;
BOL00448;Bolivia;;;;;;;;;;;;
BOL00449;Bolivia;;;;;;;;;;;;
BOL00450;Bolivia;;;;;;;;;;;;
BOL00451;Bolivia;;;;;;;;;;;;
BOL00452;Bolivia;;;;;;;;;;;;
BOL00453;Bolivia;;;;;;;;;;;;
BOL00454;Bolivia;;;;;;;;;;;;
BOL00455;Bolivia;;;;;;;;;;;;
BOL00456;Bolivia;;;;;;;;;;;;
BOL00457;Bolivia;;;;;;;;;;;;
BOL00458;Bolivia;;;;;;;;;;;;
BOL00459;Bolivia;;;;;;;;;;;;
BOL00460;Bolivia;;;;;;;;;;;;
BOL00461;Bolivia;;;;;;;;;;;;
BOL00462;Bolivia;;;;;;;;;;;;
BOL00463;Bolivia;;;;;;;;;;;;
BOL00464;Bolivia;;;;;;;;;;;;
BOL00465;Bolivia;;;;;;;;;;;;
BOL00466;Bolivia;;;;;;;;;;;;
BOL00467;Bolivia;;;;;;;;;;;;
BOL00468;Bolivia;;;;;;;;;;;;
BOL00469;Bolivia;;;;;;;;;;;;
BOL00470;Bolivia;;;;;;;;;;;;
BOL00471;Bolivia;;;;;;;;;;;;
BOL00472;Bolivia;;;;;;;;;;;;
BOL00473;Bolivia;;;;;;;;;;;;
BOL00474;Bolivia;;;;;;;;;;;;
BOL00475;Bolivia;;;;;;;;;;;;
BOL00476;Bolivia;;;;;;;;;;;;
BOL00477;Bolivia;;;;;;;;;;;;
BOL00478;Bolivia;;;;;;;;;;;;
BOL00479;Bolivia;;;;;;;;;;;;
BOL00480;Bolivia;;;;;;;;;;;;
BOL00481;Bolivia;;;;;;;;;;;;
BOL00482;Bolivia;;;;;;;;;;;;
BOL00483;Bolivia;;;;;;;;;;;;
BOL00484;Bolivia;;;;;;;;;;;;
BOL00485;Bolivia;;;;;;;;;;;;
BOL00486;Bolivia;CIENCIAS JURIDICAS;Ciencias Juridicas;Ciencias Juridicas;;;;;;;;;
BOL00487;Bolivia;;;;;;;;;;;;
BOL00488;Bolivia;;;;;;;;;;;;
BOL00489;Bolivia;;;;;;;;;;;;
BOL00490;Bolivia;;;;;;;;;;;;
BOL00491;Bolivia;;;;;;;;;;;;
BOL00492;Bolivia;;;;;;;;;;;;
BOL00493;Bolivia;;;;;;;;;;;;
BOL00494;Bolivia;;;;;;;;;;;;
BOL00495;Bolivia;;;;;;;;;;;;
BOL00496;Bolivia;;;;;;;;;;;;
BOL00497;Bolivia;;;;;;;;;;;;
BOL00498;Bolivia;;;;;;;;;;;;
BOL00499;Bolivia;;;;;;;;;;;;
BOL00500;Bolivia;;;;;;;;;;;;
BOL00501;Bolivia;;;;;;;;;;;;
BOL00502;Bolivia;;;;;;;;;;;;
BOL00503;Bolivia;;;;;;;;;;;;
BOL00504;Bolivia;;;;;;;;;;;;
BOL00505;Bolivia;;;;;;;;;;;;
BOL00506;Bolivia;;;;;;;;;;;;
BOL00507;Bolivia;;;;;;;;;;;;
BOL00508;Bolivia;;;;;;;;;;;;
BOL00509;Bolivia;;;;;;;;;;;;
BOL00510;Bolivia;;;;;;;;;;;;
BOL00511;Bolivia;;;;;;;;;;;;
BOL00512;Bolivia;;;;;;;;;;;;
BOL00513;Bolivia;;;;;;;;;;;;
BOL00514;Bolivia;;;;;;;;;;;;
BOL00515;Bolivia;;;;;;;;;;;;
BOL00516;Bolivia;;;;;;;;;;;;
BOL00517;Bolivia;;;;;;;;;;;;
BOL00518;Bolivia;;;;;;;;;;;;
BOL00519;Bolivia;;;;;;;;;;;;
BOL00520;Bolivia;;;;;;;;;;;;
BOL00521;Bolivia;;;;;;;;;;;;
BOL00522;Bolivia;;;;;;;;;;;;
BOL00523;Bolivia;;;;;;;;;;;;
BOL00524;Bolivia;;;;;;;;;;;;
BOL00525;Bolivia;;;;;;;;;;;;
BOL00526;Bolivia;;;;;;;;;;;;
BOL00527;Bolivia;;;;;;;;;;;;
BOL00528;Bolivia;;;;;;;;;;;;
BOL00529;Bolivia;;;;;;;;;;;;
BOL00530;Bolivia;;;;;;;;;;;;
BOL00531;Bolivia;;;;;;;;;;;;
BOL00532;Bolivia;;;;;;;;;;;;
BOL00533;Bolivia;;;;;;;;;;;;
BOL00534;Bolivia;;;;;;;;;;;;
BOL00535;Bolivia;;;;;;;;;;;;
BOL00536;Bolivia;;;;;;;;;;;;
BOL00537;Bolivia;;;;;;;;;;;;
BOL00538;Bolivia;;;;;;;;;;;;
BOL00539;Bolivia;;;;;;;;;;;;
BOL00540;Bolivia;;;;;;;;;;;;
BOL00541;Bolivia;;;;;;;;;;;;
BOL00542;Bolivia;;;;;;;;;;;;
BOL00543;Bolivia;;;;;;;;;;;;
BOL00544;Bolivia;;;;;;;;;;;;
BOL00545;Bolivia;;;;;;;;;;;;
BOL00546;Bolivia;;;;;;;;;;;;
BOL00547;Bolivia;;;;;;;;;;;;
BOL00548;Bolivia;;;;;;;;;;;;
BOL00549;Bolivia;;;;;;;;;;;;
