survey_Id;Country;D3_gender;Spelling ;Translate_ES;Synonyms;Contextualization;SOGIE;SOGIE_Classification
BOL00209;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00210;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00211;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00212;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00213;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00214;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00215;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00216;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00217;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00218;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00219;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00220;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00221;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00222;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00223;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00224;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00225;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00226;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00227;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00228;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00229;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00230;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00231;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00232;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00233;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00234;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00235;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00236;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00237;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00238;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00239;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00240;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00241;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00242;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00243;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00244;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00245;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00246;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00247;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00248;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00249;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00250;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00251;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00252;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00253;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00254;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00255;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00256;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00257;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00258;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00259;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00260;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00261;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00262;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00263;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00264;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00265;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00266;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00267;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00268;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00269;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00270;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00271;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
BOL00272;Bolivia;Masculino;Masculino;Masculino;Masculino;Masculino;Cisgénero;Identidad de género
