ID;Variable;Question;Details;Type;Possible_Answers;Observations
44;D9_3_4_postdoc_area;Área Pos Doctorado ;Educación;Factor;"1  Ciencias (Ciencias naturales, ciencias sociales, ciencias de la salud y ciencias económicas.),
2  Tecnología, Ingeniería de Sistemas o Computación (Por ejemplo, ciencias de la computación, ingeniería de sistemas, ingeniería de software, informática, sistemas de información, licenciatura en Computación, desarrollo de software, ciberseguridad, Big Data, entre otras relacionadas),
3  Ingenierías relacionadas a la tecnología (Por ejemplo, ingeniería de sistemas, de software, informática, de telecomunicaciones, entre otras relacionadas),
4  Otras ingenierías (Por ejemplo, ingeniería civil, eléctrica, telecomunicaciones, económica, comercial, industrial, química, entre otras),
5  Humanidades (Filosofía, Teología, Literatura, Artes, Historia, entre otras),
6  Comunicaciones,
7  Marketing, Publicidad,
8  Banca y Seguros,
9  Comercio Internacional,
10  Educación,
11  Gastronomía,
12  Hotelería, Turismo,
13  Otro";
45;D9_3_4_postdoc_area_description;Área Pos Doctorado ;Educación;Factor;"1  Ciencias (Ciencias naturales, ciencias sociales, ciencias de la salud y ciencias económicas.),
2  Tecnología, Ingeniería de Sistemas o Computación (Por ejemplo, ciencias de la computación, ingeniería de sistemas, ingeniería de software, informática, sistemas de información, licenciatura en Computación, desarrollo de software, ciberseguridad, Big Data, entre otras relacionadas),
3  Ingenierías relacionadas a la tecnología (Por ejemplo, ingeniería de sistemas, de software, informática, de telecomunicaciones, entre otras relacionadas),
4  Otras ingenierías (Por ejemplo, ingeniería civil, eléctrica, telecomunicaciones, económica, comercial, industrial, química, entre otras),
5  Humanidades (Filosofía, Teología, Literatura, Artes, Historia, entre otras),
6  Comunicaciones,
7  Marketing, Publicidad,
8  Banca y Seguros,
9  Comercio Internacional,
10  Educación,
11  Gastronomía,
12  Hotelería, Turismo,
13  Otro";
46;D9_3_4_O_postdoc_area_other;Área Pos Doctorado - Otros;Educación;Texto ;Text typed by the participant;
47;D10_1_student;Estado profesional [Soy estudiante];Carrera;Dicotómica;"1  Si 
0  No";
48;D10_2_intership;Estado profesional [Estoy realizando prácticas ];Carrera;Dicotómica;"1  Si 
0  No";
49;D10_3_worker;Estado profesional [Estoy trabajando];Carrera;Dicotómica;"1  Si 
0  No";
50;D11_professional_area;Sector profesional  Responde si actualmente estás trabajando en alguno de estos sectores - Listado de sectores económicos;Carrera;Factor;"1 Agricultura / ganadería
2 Administración pública y defensa
3 Alojamiento y restaurantes
4 Comercio
5 Construcción
6 Electricidad, gas y agua
7 Extracción de petróleo, gas, minerales y servicios conexos
8 Manufactura
9 Pesca y acuicultura
10 Telecomunicaciones y otros servicios de información
11 Transporte, almacenamiento, correo y mensajería
12 Educación
13 Publicidad/Marketing
14 Consultoría
15 Sector público
16 Tecnología e Informática
17 Otro";
51;D11_O_professional_area_other;Sector profesional  Responde si actualmente estás trabajando en alguno de estos sectores - Listado de sectores económicos  [Otro];Carrera;Texto ;Text typed by the participant;
52;D12_1_years_experience_total;Años de experiencia laboral Años de trabajo – Total;Carrera;Texto numérico ;number of years, typed by the participant;
53;D12_2_1_years_experience_technology;Años de experiencia laboral  Años de trabajo – Por sector  [TI];Carrera;Texto numérico ;number of years, typed by the participant;
54;D12_2_2_years_experience_engineering;Años de experiencia laboral  Años de trabajo – Por sector  [Ingeniería];Carrera;Texto numérico ;number of years, typed by the participant;
55;D12_2_3_years_experience_science;Años de experiencia laboral  Años de trabajo – Por sector  [Ciencias];Carrera;Texto numérico ;number of years, typed by the participant;
56;D12_2_4_years_experience_other_sectors;Años de experiencia laboral  Años de trabajo – Por sector  [Otros sectores];Carrera;Texto numérico ;number of years, typed by the participant;
57;D13_being_in_stem_career;¿Está en una carrera STEM ?  Las carreras STEM hacen referencias a aquellas relacionadas a las áreas de ciencias, tecnología, ingeniería y matemáticas, las cuales son áreas de estudio muy importantes para ayudar al desarrollo de una sociedad cada vez más tecnológica.;Carrera;Dicotómica;"1  Si 
0  No";
58;D14_1_organizational_leader;Actualmente, dirijo [Una organización];Liderazgo;Dicotómica;"1  Si 
0  No";
59;D14_2_unit_leader;Actualmente, dirijo [Una unidad interna];Liderazgo;Dicotómica;"1  Si 
0  No";
60;D14_3_group_leader;Actualmente, dirijo [Un grupo de personas];Liderazgo;Dicotómica;"1  Si 
0  No";
61;D15_women_in_my_classroom;Durante la universidad, qué porcentaje de personas en mi clase eran/son mujeres;Igualdad de género;Texto numérico ;percentage typed by the participant;
62;D16_women_in_my_business_unit;En mi organización actual, qué porcentaje de personas trabajando mi unidad de negocios son mujeres;Igualdad de género;Texto numérico ;percentage typed by the participant;
63;D17_have_a_laptop;Tengo una computadora/portátil que funciona bien;Equipos;Dicotómica;"1  Si 
0  No";
64;D18_have_wifi;Tengo conectividad estable a Internet las 24 horas del día, los 7 días de la semana;Equipos;Dicotómica;"1  Si 
0  No";
65;D19_have_electricity;Tengo energía eléctrica permanente;Equipos;Dicotómica;"1  Si 
0  No";
66;A1_1_snb;Me siento poco aceptada/o por las personas con las que trabajo/estudio.;Factores individuales: Factores individuales;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
67;A1_2_snb;Siento que estoy conectada/o vinculada/o con uno o más de mis compañeros durante mi experiencia laboral/académica.;Factores individuales: Factores individuales;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
68;A1_3_snb;Me siento como un extraña/o durante mi experiencia laboral o académica.;Factores individuales: Factores individuales;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
69;A2_1_selfeff;Me siento cómoda/o con mi nivel de conocimiento para trabajar en campos STEM;Factores individuales: autoeficacia;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
70;A2_2_selfeff;Tengo un fuerte conjunto de valores personales en los que creo;Factores individuales: autoeficacia;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
71;A2_3_selfeff;Me apasiona seguir una carrera en los campos de STEM porque me brinda una herramienta para ayudar a los demás.;Factores individuales: autoeficacia;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
72;A2_4_selfeff;Confío en mi capacidad para trabajar en campos STEM.;Factores individuales: autoeficacia;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
73;A3_1_selfconf;Soy un gran fracaso;Factores individuales: Confianza en sí mismo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
74;A3_2_selfconf;Tengo bastante éxito;Factores individuales: Confianza en sí mismo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
75;A3_3_selfconf;No soy lo suficientemente inteligente;Factores individuales: Confianza en sí mismo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
76;A3_4_selfconf;Soy muy inteligente;Factores individuales: Confianza en sí mismo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
77;A3_5_selfconf;Soy más brillante que otras personas.;Factores individuales: Confianza en sí mismo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
78;A3_6_selfconf;Soy más tonta/o que otras personas.;Factores individuales: Confianza en sí mismo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
79;A4_1_indep;Gano mi propio sustento;Factores individuales: Independencia;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
80;A4_2_indep;Pago por mi propio alquiler o hipoteca;Factores individuales: Independencia;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
81;A4_3_indep;Pago mis cuentas;Factores individuales: Independencia;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
82;A4_4_indep;Administro mi propio dinero;Factores individuales: Independencia;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
83;A5_1_women_ident;Me gusta hacer el mismo tipo de cosas que la mayoría de las mujeres.;Factores individuales: identidad de género;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
84;A5_2_women_ident;A veces la gente dice que actúo más como un hombre que como una mujer.;Factores individuales: identidad de género;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
85;A5_3_women_ident;A veces pienso que es más fácil ser hombre que ser mujer.;Factores individuales: identidad de género;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
86;A5_4_women_ident;Me gustaría que las mujeres pudieran hacer más de las cosas que los hombres pueden hacer.;Factores individuales: identidad de género;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
87;A5_5_women_ident;A veces pienso que es más divertido ser hombre.;Factores individuales: identidad de género;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
88;A5_6_women_ident;Creo que es injusto que a las mujeres no se les permita hacer ciertas  cosas que los hombres pueden hacer.;Factores individuales: identidad de género;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
89;A6_1_bullying;Mis compañeros se burlaban de mí.;Factores individuales: consecuencias del bullying;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
90;A6_2_bullying;Mis compañeros me hicieron avergonzar.;Factores individuales: consecuencias del bullying;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
91;A6_3_bullying;Mis compañeros no me permiten participar en proyectos o actividades especiales.;Factores individuales: consecuencias del bullying;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
92;A6_4_bullying;Mis compañeros me eligieron en último lugar.;Factores individuales: consecuencias del bullying;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
93;A6_5_bullying;Nadie me ayudó cuando pedí ayuda.;Factores individuales: consecuencias del bullying;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
94;A7_1_meaning;El trabajo que hago es muy importante para mí.;Factores individuales: significado;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
95;A7_2_meaning;Mis actividades laborales son personalmente significativas para mí;Factores individuales: significado;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
96;A7_3_meaning;El trabajo que hago es significativo para mí.;Factores individuales: significado;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
97;B1_01_nerd;Creo que las personas en carreras STEM   [Tienen dificultad para salir con alguien.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
98;B1_02_nerd;Creo que las personas en carreras STEM   [Son socialmente torpes.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
99;B1_03_nerd;Creo que las personas en carreras STEM   [No son atractivas/os.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
100;B1_04_nerd;Creo que las personas en carreras STEM   [No tienen muchas/os amigas/os.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
101;B1_05_nerd;"Creo que las personas en carreras STEM   [Son nerds (""geeky"").]";Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
102;B1_06_nerd;Creo que las personas en carreras STEM   [Son introvertidas/os.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
103;B1_07_genius;Creo que las personas en carreras STEM   [Son dotadas/os en matemáticas.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
104;B1_08_genius;Creo que las personas en carreras STEM   [Son naturalmente muy inteligentes.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
105;B1_09_genius;Creo que las personas en carreras STEM   [Son genias/os.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
106;B1_10_genius;Creo que las personas en carreras STEM   [Están obsesionadas/os con las computadoras.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
107;B2_mentor;Tengo un mentor;Factores educativos: calidad de la mentoría;Dicotómica;"1  Si 
0  No";
108;B2_1_mentorship_quality;Mi(s) mentor (es) y yo nos beneficiamos de nuestra relación;Factores educativos: calidad de la mentoría;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
109;B2_2_mentorship_quality;Utilicé efectivamente la mentoría;Factores educativos: calidad de la mentoría;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
110;B2_3_mentorship_quality;Disfruté de la(s) relación(es) de mentoría de alta calidad;Factores educativos: calidad de la mentoría;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
111;B3_1_gender_equality;Mis compañeras/os de clase son tratadas/os de manera diferente por sus profesoras/es dependiendo de su género;Factores educativos: percepción institucional de la igualdad de género;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
