survey_Id;Country;D11_O_professional_area_other;D11_O_professional_area_other_spelling;D11_O_professional_area_other_translate_es
BOL00037;Bolivia;SEGURO SOCIAL;Seguro Social;Seguro Social
BOL00038;Bolivia;SEGURIDAD;Seguridad;Seguridad
BOL00039;Bolivia;Sectores alimenticio;Sector Alimenticio;Sector Alimenticio
BOL00040;Bolivia;SECTOR SALUD;Sector Salud;Sector Salud
BOL00041;Bolivia;SECTOR SALUD;Sector Salud;Sector Salud
BOL00042;Bolivia;SECTOR RURAL;Sector Rural;Sector Rural
BOL00043;Bolivia;SECTOR PRIVADO;Sector Privado;Sector Privado
BOL00044;Bolivia;SECTOR PRIVADO;Sector Privado;Sector Privado
BOL00045;Bolivia;SALUD;Salud;Salud
BOL00046;Bolivia;SALUD;Salud;Salud
BOL00047;Bolivia;SALUD;Salud;Salud
BOL00048;Bolivia;SALUD;Salud;Salud
BOL00049;Bolivia;Salud;Salud;Salud
BOL00050;Bolivia;RUBRO INDUSTRIAL ALIMENTICIO;Rubro Industrial Alimenticio;Rubro Industrial Alimenticio
BOL00051;Bolivia;REALIZQNDO PRACTICAS EB SISTEMAS;Realizando Prácticas en Sistemas;Realizando Prácticas en Sistemas
BOL00052;Bolivia;REALIZANDO PRACTICAS;Realizando Prácticas;Realizando Prácticas
BOL00053;Bolivia;Realizando practicas;Realizando Prácticas;Realizando Prácticas
BOL00054;Bolivia;PSICOLOGÍA;Psicología;Psicología
BOL00055;Bolivia;PROFESOR;Profesor;Profesor
BOL00056;Bolivia;PROFESIONAL INDEPENDIENTE;Profesional Independiente;Profesional Independiente
BOL00057;Bolivia;PRODUCCION;Producción;Producción
BOL00058;Bolivia;Panleria armando Stans;Panadería (Armado de Stands);Panadería (Armado de Stands)
BOL00059;Bolivia;organo judicial;Órgano Judicial;Órgano Judicial
BOL00060;Bolivia;OPERADOR  EN SISTEMAS;Operador de Sistemas;Operador de Sistemas
BOL00061;Bolivia;ONG;ONG;ONG
BOL00062;Bolivia;ONG;ONG;ONG
BOL00063;Bolivia;NO TRABAJA PERO  ASIENDO PASANTIA EN ÁREA PETROLERA;Area Petrolera;Area Petrolera
BOL00064;Bolivia;MÚSICO;Músico;Músico(a)
BOL00065;Bolivia;MUSICO;Músico;Músico(a)
BOL00066;Bolivia;MECANICA AUTOMOTRIZ;Mecánica Automotriz;Mecánica Automotriz
BOL00067;Bolivia;mantenimiento de computadoras y impresoras;Mantenimiento de Computadoras e Impresoras;Mantenimiento de Computadoras e Impresoras
BOL00068;Bolivia;LIMPIEZA;Limpieza;Limpieza
BOL00069;Bolivia;LEGAL  PRIVADA;Legal Privada;Legal Privada
BOL00070;Bolivia;INVESTIGACION;Investigación;Investigación
BOL00071;Bolivia;INSTALA ION DE GAS DOMICULIARIO;Instalación de Gas Domiciliario;Instalación de Gas Domiciliario
BOL00072;Bolivia;INMOVILIARIA;Inmobiliaria;Inmobiliaria
BOL00073;Bolivia;INMOBILIARIA;Inmobiliaria;Inmobiliaria
BOL00074;Bolivia;INGENIERO INDUSTRIAL;Ingeniero Industrial;Ingeniero Industrial
BOL00075;Bolivia;ING MECANICA;Ingeniería Mecánica;Ingeniería Mecánica
BOL00076;Bolivia;INDUSTRIALIZACION DE ALIMENTO SALUDABLE;Industrialización de Alimentos Saludables;Industrialización de Alimentos Saludables
BOL00077;Bolivia;INDUSTRIA ALIMENTICIA;Industria Alimenticia;Industria Alimenticia
BOL00078;Bolivia;INDUSTRIA;Industria;Industria
BOL00079;Bolivia;INDEPENDIENTE CONTADOR;Contador Independiente;Contador Independiente
BOL00080;Bolivia;INDEPENDIENTE;Independiente;Independiente
BOL00081;Bolivia;Importaciones;Importaciones;Importaciones
BOL00082;Bolivia;I GENIRO EN SISTEMAS;Ingeniero en Sistemas;Ingeniero en Sistemas
BOL00083;Bolivia;GESTION DE VENTAS;Gestión de Ventas;Gestión de Ventas
BOL00084;Bolivia;GASTRONOMÍA;Gastronomía;Gastronomía
BOL00085;Bolivia;GASTRONOMÍA;Gastronomía;Gastronomía
BOL00086;Bolivia;GASTRONOMIA;Gastronomía;Gastronomía
BOL00087;Bolivia;GASTRON!MICO;Gastronómico;Gastronómico
BOL00088;Bolivia;FARMACIA;Farmacia;Farmacia
BOL00089;Bolivia;Fábrica de Plásticos;Fábrica de Plásticos;Fábrica de Plásticos
BOL00090;Bolivia;estadisticas;Estadísticas;Estadísticas
BOL00091;Bolivia;ENTIDADES FINANCIERA;Entidades Financieras;Entidades Financieras
BOL00092;Bolivia;ENCARGADO DE SISTEMA;Encargado de Sistemas;Encargado de Sistemas
BOL00093;Bolivia;EN SALUD ES MEFICO;Médico (Sector Salud);Médico (Sector Salud)
BOL00094;Bolivia;EMPRESA ALIMENTICIA;Empresa Alimenticia;Empresa Alimenticia
BOL00095;Bolivia;ELECTROMECANICA;Electromecánica;Electromecánica
BOL00096;Bolivia;ELECTRODOMESTICOS;Electrodomésticos;Electrodomésticos
BOL00097;Bolivia;ELECTRICIDAD AITOMOTRIZ;Electricidad Automotriz;Electricidad Automotriz
BOL00098;Bolivia;EJECUTIVO DE VENTAS;Ejecutivo de Ventas;Ejecutivo de Ventas
BOL00099;Bolivia;EDUCACION SUPRRIOR;Educación Superior;Educación Superior
BOL00100;Bolivia;EDUCACIÓN SUPERIOR;Educación Superior;Educación Superior
BOL00101;Bolivia;EDUCACION SUPERIOR;Educación Superior;Educación Superior
BOL00102;Bolivia;EDUCACION SUPERIOR;Educación Superior;Educación Superior
BOL00103;Bolivia;EDUCACION;Educación;Educación
BOL00104;Bolivia;EDUCACION;Educación;Educación
BOL00105;Bolivia;EDITOR;Editor;Editor
BOL00106;Bolivia;DOCENTE;Docente;Docente
BOL00107;Bolivia;DOCENCIA;Docencia;Docencia
BOL00108;Bolivia;DESARROLLO DE SOFTWARE;Desarrollo de Software;Desarrollo de Software
BOL00109;Bolivia;DERECHO;Derecho;Derecho
BOL00110;Bolivia;Deporte;Deporte;Deporte
BOL00111;Bolivia;DEPARTAMENTO DE LECTURA ION PLANIFICACIÓN DEL DEPARTAMENTO DE LECTURACION;Departamento de Planificación (Lectura);Departamento de Planificación (Lectura)
BOL00112;Bolivia;CUENTA PROPIA;Cuenta Propia;Cuenta Propia
BOL00113;Bolivia;COSTURA;Costura;Costura
BOL00114;Bolivia;Cosecha;Cosecha;Cosecha
BOL00115;Bolivia;CONTABILIDAD;Contabilidad;Contabilidad
BOL00116;Bolivia;consumo masivo;Consumo Masivo;Consumo Masivo
BOL00117;Bolivia;CONSULTOR EDUCATIVA;Consultor(a) Educativo(a);Consultor(a) Educativo(a)
BOL00118;Bolivia;CONSTRUCCION;Construcción;Construcción
BOL00119;Bolivia;CONSTRUCCION;Construcción;Construcción
BOL00120;Bolivia;Clinica privada;Clínica Privada;Clínica Privada
BOL00121;Bolivia;CIENCIA;Ciencia;Ciencia
BOL00122;Bolivia;CHOFER;Chofer;Chofer
BOL00123;Bolivia;CATEDRATICO;Catedrático(a);Catedrático(a)
BOL00124;Bolivia;CARPINTERIA ALUMINIO MADERA EMPRESA;Carpintería (Aluminio y Madera);Carpintería (Aluminio y Madera)
BOL00125;Bolivia;CARPINTERÍA;Carpintería;Carpintería
BOL00126;Bolivia;CARPINTERÍA;Carpintería;Carpintería
BOL00127;Bolivia;BIOMEDICA;Biomédica;Biomédica
BOL00128;Bolivia;BECA DE BLIBLIOTECA;Beca de Biblioteca;Beca de Biblioteca
BOL00129;Bolivia;BANCO;Banco;Banco
BOL00130;Bolivia;BANCO;Banco;Banco
BOL00131;Bolivia;BANCARIO;Bancario;Bancario
BOL00132;Bolivia;BANCA PRIVADA;Banca Privada;Banca Privada
BOL00133;Bolivia;Banca privada;Banca Privada;Banca Privada
BOL00134;Bolivia;AUXILIATURA;Auxiliatura;Auxiliatura
BOL00135;Bolivia;AUTOMOTRIZ;Automotriz;Automotriz
BOL00136;Bolivia;AUTOMOTRIZ;Automotriz;Automotriz
BOL00137;Bolivia;ATENCIÓN AL CLIENTE;Atención al Cliente;Atención al Cliente
BOL00138;Bolivia;ASESORAMIENTO EN CONSTRUCCION;Asesoramiento en Construcción;Asesoramiento en Construcción
BOL00139;Bolivia;ASESOR JURIDICO;Asesor Jurídico;Asesor Jurídico
BOL00140;Bolivia;ASESOR DE CREDITO;Asesor de Crédito;Asesor de Crédito
BOL00141;Bolivia;ARTESANIAS;Artesanías;Artesanías
BOL00142;Bolivia;ARQUITECTO;Arquitecto(a);Arquitecto(a)
BOL00143;Bolivia;AREAL COMERCIALES;Área Comercial;Área Comercial
BOL00144;Bolivia;AREA PENAL Y CIVIL;Área Penal y Civil;Área Penal y Civil
BOL00145;Bolivia;AREA INDUSTRIAL DE AUTOMACIZACION;Área Industrial de Automatización;Área Industrial de Automatización
BOL00146;Bolivia;AREA DE VENTAS;Área de Ventas;Área de Ventas
BOL00147;Bolivia;AREA DE SOPORTE TECNICO COMPUTACION;Área de Soporte Técnico (Computación);Área de Soporte Técnico (Computación)
BOL00148;Bolivia;AREA DE SALUD;Área de Salud;Área de Salud
BOL00149;Bolivia;AREA DE PRODUCCIÓN EN FABRICA DE MABEL;Área de Producción en Fábrica (Mabel);Área de Producción en Fábrica (Mabel)
BOL00150;Bolivia;APOYO A LA INVESTIGACION PUBLICA UMSA;Apoyo a la Investigación Pública (UMSA);Apoyo a la Investigación Pública (UMSA)
BOL00151;Bolivia;AGROPECUARIO;Agropecuario;Agropecuario
BOL00152;Bolivia;AGROINDUSTRIAL;Agroindustrial;Agroindustrial
BOL00153;Bolivia;ABOGADO INDEPENDIENTE;Abogado Independiente;Abogado Independiente
BOL00154;Bolivia;ABOGADO;Abogado(a);Abogado(a)
BOL00155;Bolivia;;;
BOL00156;Bolivia;;;
BOL00157;Bolivia;;;
BOL00158;Bolivia;;;
BOL00159;Bolivia;;;
BOL00160;Bolivia;;;
BOL00161;Bolivia;;;
BOL00162;Bolivia;;;
BOL00163;Bolivia;;;
BOL00164;Bolivia;;;
BOL00165;Bolivia;;;
BOL00166;Bolivia;;;
BOL00167;Bolivia;;;
BOL00168;Bolivia;;;
BOL00169;Bolivia;;;
BOL00170;Bolivia;;;
BOL00171;Bolivia;;;
BOL00172;Bolivia;;;
BOL00173;Bolivia;;;
BOL00174;Bolivia;;;
BOL00175;Bolivia;;;
BOL00176;Bolivia;;;
BOL00177;Bolivia;;;
BOL00178;Bolivia;;;
BOL00179;Bolivia;;;
BOL00180;Bolivia;;;
BOL00181;Bolivia;;;
BOL00182;Bolivia;;;
BOL00183;Bolivia;;;
BOL00184;Bolivia;;;
BOL00185;Bolivia;;;
BOL00186;Bolivia;;;
BOL00187;Bolivia;;;
BOL00188;Bolivia;;;
BOL00189;Bolivia;;;
BOL00190;Bolivia;;;
BOL00191;Bolivia;;;
BOL00192;Bolivia;;;
BOL00193;Bolivia;;;
BOL00194;Bolivia;;;
BOL00195;Bolivia;;;
BOL00196;Bolivia;;;
BOL00197;Bolivia;;;
BOL00198;Bolivia;;;
BOL00199;Bolivia;;;
BOL00200;Bolivia;;;
BOL00201;Bolivia;;;
BOL00202;Bolivia;;;
BOL00203;Bolivia;;;
BOL00204;Bolivia;;;
BOL00205;Bolivia;;;
BOL00206;Bolivia;;;
BOL00207;Bolivia;;;
BOL00208;Bolivia;;;
BOL00209;Bolivia;;;
BOL00210;Bolivia;;;
BOL00211;Bolivia;;;
BOL00212;Bolivia;;;
BOL00213;Bolivia;;;
BOL00214;Bolivia;;;
BOL00215;Bolivia;;;
BOL00216;Bolivia;;;
BOL00217;Bolivia;;;
BOL00218;Bolivia;;;
BOL00219;Bolivia;;;
BOL00220;Bolivia;;;
BOL00221;Bolivia;;;
BOL00222;Bolivia;;;
BOL00223;Bolivia;;;
BOL00224;Bolivia;;;
BOL00225;Bolivia;;;
BOL00226;Bolivia;;;
BOL00227;Bolivia;;;
BOL00228;Bolivia;;;
BOL00229;Bolivia;;;
BOL00230;Bolivia;;;
BOL00231;Bolivia;;;
BOL00232;Bolivia;;;
BOL00233;Bolivia;;;
BOL00234;Bolivia;;;
BOL00235;Bolivia;;;
BOL00236;Bolivia;;;
BOL00237;Bolivia;;;
BOL00238;Bolivia;;;
BOL00239;Bolivia;;;
BOL00240;Bolivia;;;
BOL00241;Bolivia;;;
BOL00242;Bolivia;;;
BOL00243;Bolivia;;;
BOL00244;Bolivia;;;
BOL00245;Bolivia;;;
BOL00246;Bolivia;;;
BOL00247;Bolivia;;;
BOL00248;Bolivia;;;
BOL00249;Bolivia;;;
BOL00250;Bolivia;;;
BOL00251;Bolivia;;;
BOL00252;Bolivia;;;
BOL00253;Bolivia;;;
BOL00254;Bolivia;;;
BOL00255;Bolivia;;;
BOL00256;Bolivia;;;
BOL00257;Bolivia;;;
BOL00258;Bolivia;;;
BOL00259;Bolivia;;;
BOL00260;Bolivia;;;
BOL00261;Bolivia;;;
BOL00262;Bolivia;;;
BOL00263;Bolivia;;;
BOL00264;Bolivia;;;
BOL00265;Bolivia;;;
BOL00266;Bolivia;;;
BOL00267;Bolivia;;;
BOL00268;Bolivia;;;
BOL00269;Bolivia;;;
BOL00270;Bolivia;;;
BOL00271;Bolivia;;;
BOL00272;Bolivia;;;
BOL00273;Bolivia;;;
BOL00274;Bolivia;;;
BOL00275;Bolivia;;;
BOL00276;Bolivia;;;
BOL00277;Bolivia;;;
BOL00278;Bolivia;;;
BOL00279;Bolivia;;;
BOL00280;Bolivia;;;
BOL00281;Bolivia;;;
BOL00282;Bolivia;;;
BOL00283;Bolivia;;;
BOL00284;Bolivia;;;
BOL00285;Bolivia;;;
BOL00286;Bolivia;;;
BOL00287;Bolivia;;;
BOL00288;Bolivia;;;
BOL00289;Bolivia;;;
BOL00290;Bolivia;;;
BOL00291;Bolivia;;;
BOL00292;Bolivia;;;
BOL00293;Bolivia;;;
BOL00294;Bolivia;;;
BOL00295;Bolivia;;;
BOL00296;Bolivia;;;
BOL00297;Bolivia;;;
BOL00298;Bolivia;;;
BOL00299;Bolivia;;;
BOL00300;Bolivia;;;
BOL00301;Bolivia;;;
BOL00302;Bolivia;;;
BOL00303;Bolivia;;;
BOL00304;Bolivia;;;
BOL00305;Bolivia;;;
BOL00306;Bolivia;;;
BOL00307;Bolivia;;;
BOL00308;Bolivia;;;
BOL00309;Bolivia;;;
BOL00310;Bolivia;;;
BOL00311;Bolivia;;;
BOL00312;Bolivia;;;
BOL00313;Bolivia;;;
BOL00314;Bolivia;;;
BOL00315;Bolivia;;;
BOL00316;Bolivia;;;
BOL00317;Bolivia;;;
BOL00318;Bolivia;;;
BOL00319;Bolivia;;;
BOL00320;Bolivia;;;
BOL00321;Bolivia;;;
BOL00322;Bolivia;;;
BOL00323;Bolivia;;;
BOL00324;Bolivia;;;
BOL00325;Bolivia;;;
BOL00326;Bolivia;;;
BOL00327;Bolivia;;;
BOL00328;Bolivia;;;
BOL00329;Bolivia;;;
BOL00330;Bolivia;;;
BOL00331;Bolivia;;;
BOL00332;Bolivia;;;
BOL00333;Bolivia;;;
BOL00334;Bolivia;;;
BOL00335;Bolivia;;;
BOL00336;Bolivia;;;
BOL00337;Bolivia;;;
BOL00338;Bolivia;;;
BOL00339;Bolivia;;;
BOL00340;Bolivia;;;
BOL00341;Bolivia;;;
BOL00342;Bolivia;;;
BOL00343;Bolivia;;;
BOL00344;Bolivia;;;
BOL00345;Bolivia;;;
BOL00346;Bolivia;;;
BOL00347;Bolivia;;;
BOL00348;Bolivia;;;
BOL00349;Bolivia;;;
BOL00350;Bolivia;;;
BOL00351;Bolivia;;;
BOL00352;Bolivia;;;
BOL00353;Bolivia;;;
BOL00354;Bolivia;;;
BOL00355;Bolivia;;;
BOL00356;Bolivia;;;
BOL00357;Bolivia;;;
BOL00358;Bolivia;;;
BOL00359;Bolivia;;;
BOL00360;Bolivia;;;
BOL00361;Bolivia;;;
BOL00362;Bolivia;;;
BOL00363;Bolivia;;;
BOL00364;Bolivia;;;
BOL00365;Bolivia;;;
BOL00366;Bolivia;;;
BOL00367;Bolivia;;;
BOL00368;Bolivia;;;
BOL00369;Bolivia;;;
BOL00370;Bolivia;;;
BOL00371;Bolivia;;;
BOL00372;Bolivia;;;
BOL00373;Bolivia;;;
BOL00374;Bolivia;;;
BOL00375;Bolivia;;;
BOL00376;Bolivia;;;
BOL00377;Bolivia;;;
BOL00378;Bolivia;;;
BOL00379;Bolivia;;;
BOL00380;Bolivia;;;
BOL00381;Bolivia;;;
BOL00382;Bolivia;;;
BOL00383;Bolivia;;;
BOL00384;Bolivia;;;
BOL00385;Bolivia;;;
BOL00386;Bolivia;;;
BOL00387;Bolivia;;;
BOL00388;Bolivia;;;
BOL00389;Bolivia;;;
BOL00390;Bolivia;;;
BOL00391;Bolivia;;;
BOL00392;Bolivia;;;
BOL00393;Bolivia;;;
BOL00394;Bolivia;;;
BOL00395;Bolivia;;;
BOL00396;Bolivia;;;
BOL00397;Bolivia;;;
BOL00398;Bolivia;;;
BOL00399;Bolivia;;;
BOL00400;Bolivia;;;
BOL00401;Bolivia;;;
BOL00402;Bolivia;;;
BOL00403;Bolivia;;;
BOL00404;Bolivia;;;
BOL00405;Bolivia;;;
BOL00406;Bolivia;;;
BOL00407;Bolivia;;;
BOL00408;Bolivia;;;
BOL00409;Bolivia;;;
BOL00410;Bolivia;;;
BOL00411;Bolivia;;;
BOL00412;Bolivia;;;
BOL00413;Bolivia;;;
BOL00414;Bolivia;;;
BOL00415;Bolivia;;;
BOL00416;Bolivia;;;
BOL00417;Bolivia;;;
BOL00418;Bolivia;;;
BOL00419;Bolivia;;;
BOL00420;Bolivia;;;
BOL00421;Bolivia;;;
BOL00422;Bolivia;;;
BOL00423;Bolivia;;;
BOL00424;Bolivia;;;
BOL00425;Bolivia;;;
BOL00426;Bolivia;;;
BOL00427;Bolivia;;;
BOL00428;Bolivia;;;
BOL00429;Bolivia;;;
BOL00430;Bolivia;;;
BOL00431;Bolivia;;;
BOL00432;Bolivia;;;
BOL00433;Bolivia;;;
BOL00434;Bolivia;;;
BOL00435;Bolivia;;;
BOL00436;Bolivia;;;
BOL00437;Bolivia;;;
BOL00438;Bolivia;;;
BOL00439;Bolivia;;;
BOL00440;Bolivia;;;
BOL00441;Bolivia;;;
BOL00442;Bolivia;;;
BOL00443;Bolivia;;;
BOL00444;Bolivia;;;
BOL00445;Bolivia;;;
BOL00446;Bolivia;;;
BOL00447;Bolivia;;;
BOL00448;Bolivia;;;
BOL00449;Bolivia;;;
BOL00450;Bolivia;;;
BOL00451;Bolivia;;;
BOL00452;Bolivia;;;
BOL00453;Bolivia;;;
BOL00454;Bolivia;;;
BOL00455;Bolivia;;;
BOL00456;Bolivia;;;
BOL00457;Bolivia;;;
BOL00458;Bolivia;;;
BOL00459;Bolivia;;;
BOL00460;Bolivia;;;
BOL00461;Bolivia;;;
BOL00462;Bolivia;;;
BOL00463;Bolivia;;;
BOL00464;Bolivia;;;
BOL00465;Bolivia;;;
BOL00466;Bolivia;;;
BOL00467;Bolivia;;;
BOL00468;Bolivia;;;
BOL00469;Bolivia;;;
BOL00470;Bolivia;;;
BOL00471;Bolivia;;;
BOL00472;Bolivia;;;
BOL00473;Bolivia;;;
BOL00474;Bolivia;;;
BOL00475;Bolivia;;;
BOL00476;Bolivia;;;
BOL00477;Bolivia;;;
BOL00478;Bolivia;;;
BOL00479;Bolivia;;;
BOL00480;Bolivia;;;
BOL00481;Bolivia;;;
BOL00482;Bolivia;;;
BOL00483;Bolivia;;;
BOL00484;Bolivia;;;
BOL00485;Bolivia;;;
BOL00486;Bolivia;;;
BOL00487;Bolivia;;;
BOL00488;Bolivia;;;
BOL00489;Bolivia;;;
BOL00490;Bolivia;;;
BOL00491;Bolivia;;;
BOL00492;Bolivia;;;
BOL00493;Bolivia;;;
BOL00494;Bolivia;;;
BOL00495;Bolivia;;;
BOL00496;Bolivia;;;
BOL00497;Bolivia;;;
BOL00498;Bolivia;;;
BOL00499;Bolivia;;;
BOL00500;Bolivia;;;
BOL00501;Bolivia;;;
BOL00502;Bolivia;;;
BOL00503;Bolivia;;;
BOL00504;Bolivia;;;
BOL00505;Bolivia;;;
BOL00506;Bolivia;;;
BOL00507;Bolivia;;;
BOL00508;Bolivia;;;
BOL00509;Bolivia;;;
BOL00510;Bolivia;;;
BOL00511;Bolivia;;;
BOL00512;Bolivia;;;
BOL00513;Bolivia;;;
BOL00514;Bolivia;;;
BOL00515;Bolivia;;;
BOL00516;Bolivia;;;
BOL00517;Bolivia;;;
BOL00518;Bolivia;;;
BOL00519;Bolivia;;;
BOL00520;Bolivia;;;
BOL00521;Bolivia;;;
BOL00522;Bolivia;;;
BOL00523;Bolivia;;;
BOL00524;Bolivia;;;
BOL00525;Bolivia;;;
BOL00526;Bolivia;;;
BOL00527;Bolivia;;;
BOL00528;Bolivia;;;
BOL00529;Bolivia;;;
BOL00530;Bolivia;;;
BOL00531;Bolivia;;;
BOL00532;Bolivia;;;
BOL00533;Bolivia;;;
BOL00534;Bolivia;;;
BOL00535;Bolivia;;;
BOL00536;Bolivia;;;
BOL00537;Bolivia;;;
BOL00538;Bolivia;;;
BOL00539;Bolivia;;;
BOL00540;Bolivia;;;
BOL00541;Bolivia;;;
BOL00542;Bolivia;;;
BOL00543;Bolivia;;;
BOL00544;Bolivia;;;
BOL00545;Bolivia;;;
BOL00546;Bolivia;;;
BOL00547;Bolivia;;;
BOL00548;Bolivia;;;
BOL00549;Bolivia;;;
BOL00550;Bolivia;;;
BOL00551;Bolivia;;;
BOL00552;Bolivia;;;
BOL00553;Bolivia;;;
BOL00554;Bolivia;;;
BOL00555;Bolivia;;;
BOL00556;Bolivia;;;
BOL00557;Bolivia;;;
BOL00558;Bolivia;;;
BOL00559;Bolivia;;;
BOL00560;Bolivia;;;
BOL00561;Bolivia;;;
BOL00562;Bolivia;;;
BOL00563;Bolivia;;;
BOL00564;Bolivia;;;
BOL00565;Bolivia;;;
BOL00566;Bolivia;;;
BOL00567;Bolivia;;;
BOL00568;Bolivia;;;
BOL00569;Bolivia;;;
BOL00570;Bolivia;;;
BOL00571;Bolivia;;;
BOL00572;Bolivia;;;
BOL00573;Bolivia;;;
BOL00574;Bolivia;;;
BOL00575;Bolivia;;;
BOL00576;Bolivia;;;
BOL00577;Bolivia;;;
BOL00578;Bolivia;;;
BOL00579;Bolivia;;;
BOL00580;Bolivia;;;
BOL00581;Bolivia;;;
BOL00582;Bolivia;;;
BOL00583;Bolivia;;;
BOL00584;Bolivia;;;
BOL00585;Bolivia;;;
BOL00586;Bolivia;;;
BOL00587;Bolivia;;;
BOL00588;Bolivia;;;
BOL00589;Bolivia;;;
BOL00590;Bolivia;;;
BOL00591;Bolivia;;;
BOL00592;Bolivia;;;
BOL00593;Bolivia;;;
BOL00594;Bolivia;;;
BOL00595;Bolivia;;;
BOL00596;Bolivia;;;
BOL00597;Bolivia;;;
BOL00598;Bolivia;;;
BOL00599;Bolivia;;;
BOL00600;Bolivia;;;
BOL00601;Bolivia;;;
BOL00602;Bolivia;;;
BOL00603;Bolivia;;;
BOL00604;Bolivia;;;
BOL00605;Bolivia;;;
BOL00606;Bolivia;;;
BOL00607;Bolivia;;;
BOL00608;Bolivia;;;
BOL00609;Bolivia;;;
BOL00610;Bolivia;;;
BOL00611;Bolivia;;;
BOL00612;Bolivia;;;
BOL00613;Bolivia;;;
BOL00614;Bolivia;;;
BOL00615;Bolivia;;;
BOL00616;Bolivia;;;
BOL00617;Bolivia;;;
BOL00618;Bolivia;;;
BOL00619;Bolivia;;;
BOL00620;Bolivia;;;
BOL00621;Bolivia;;;
BOL00622;Bolivia;;;
BOL00623;Bolivia;;;
BOL00624;Bolivia;;;
BOL00625;Bolivia;;;
BOL00626;Bolivia;;;
BOL00627;Bolivia;;;
BOL00628;Bolivia;;;
BOL00629;Bolivia;;;
BOL00630;Bolivia;;;
BOL00631;Bolivia;;;
BOL00632;Bolivia;;;
BOL00633;Bolivia;;;
BOL00634;Bolivia;;;
BOL00635;Bolivia;;;
BOL00636;Bolivia;;;
BOL00637;Bolivia;;;
BOL00638;Bolivia;;;
BOL00639;Bolivia;;;
BOL00640;Bolivia;;;
BOL00641;Bolivia;;;
BOL00642;Bolivia;;;
BOL00643;Bolivia;;;
BOL00644;Bolivia;;;
BOL00645;Bolivia;;;
BOL00646;Bolivia;;;
BOL00647;Bolivia;;;
BOL00648;Bolivia;;;
BOL00649;Bolivia;;;
BOL00650;Bolivia;;;
BOL00651;Bolivia;;;
BOL00652;Bolivia;;;
BOL00653;Bolivia;;;
BOL00654;Bolivia;;;
BOL00655;Bolivia;;;
BOL00656;Bolivia;;;
BOL00657;Bolivia;;;
BOL00658;Bolivia;;;
BOL00659;Bolivia;;;
BOL00660;Bolivia;;;
BOL00661;Bolivia;;;
BOL00662;Bolivia;;;
BOL00663;Bolivia;;;
BOL00664;Bolivia;;;
BOL00665;Bolivia;;;
BOL00666;Bolivia;;;
BOL00667;Bolivia;;;
BOL00668;Bolivia;;;
BOL00669;Bolivia;;;
BOL00670;Bolivia;;;
BOL00671;Bolivia;;;
BOL00672;Bolivia;;;
BOL00673;Bolivia;;;
BOL00674;Bolivia;;;
BOL00675;Bolivia;;;
BOL00676;Bolivia;;;
BOL00677;Bolivia;;;
BOL00678;Bolivia;;;
BOL00679;Bolivia;;;
BOL00680;Bolivia;;;
BOL00681;Bolivia;;;
BOL00682;Bolivia;;;
BOL00683;Bolivia;;;
BOL00684;Bolivia;;;
BOL00685;Bolivia;;;
BOL00686;Bolivia;;;
BOL00687;Bolivia;;;
BOL00688;Bolivia;;;
BOL00689;Bolivia;;;
