ID;Variable;Question;Details;Type;Possible_Answers;Obsertations;
31;D9_3_3_doctorate_area;Área Doctorado ;Educación;Factor;"Ciencias (Ciencias naturales, ciencias sociales, ciencias de la salud y ciencias económicas.)
Tecnología, Ingeniería de Sistemas o Computación (Por ejemplo, ciencias de la computación, ingeniería de sistemas, ingeniería de software, informática, sistemas de información, licenciatura en Computación, desarrollo de software, ciberseguridad, Big Data, entre otras relacionadas)
Ingenierías relacionadas a la tecnología (Por ejemplo, ingeniería de sistemas, de software, informática, de telecomunicaciones, entre otras relacionadas)
Otras ingenierías (Por ejemplo, ingeniería civil, eléctrica, telecomunicaciones, económica, comercial, industrial, química, entre otras)
Humanidades (Filosofía, Teología, Literatura, Artes, Historia, entre otras)
Comunicaciones
Marketing, Publicidad
Banca y Seguros
Comercio Internacional
Educación
Gastronomía
Hotelería, Turismo
Otro";dictionary_course_area.csv;
32;D9_3_3_O_doctorate_area_other;Área Doctorado - Otros;Educación;Texto ;Escrito por el participante ;dictionary_courses.csv;
33;D9_3_4_postdoc_area;Área Pos Doctorado ;Educación;Factor;"Ciencias (Ciencias naturales, ciencias sociales, ciencias de la salud y ciencias económicas.)
Tecnología, Ingeniería de Sistemas o Computación (Por ejemplo, ciencias de la computación, ingeniería de sistemas, ingeniería de software, informática, sistemas de información, licenciatura en Computación, desarrollo de software, ciberseguridad, Big Data, entre otras relacionadas)
Ingenierías relacionadas a la tecnología (Por ejemplo, ingeniería de sistemas, de software, informática, de telecomunicaciones, entre otras relacionadas)
Otras ingenierías (Por ejemplo, ingeniería civil, eléctrica, telecomunicaciones, económica, comercial, industrial, química, entre otras)
Humanidades (Filosofía, Teología, Literatura, Artes, Historia, entre otras)
Comunicaciones
Marketing, Publicidad
Banca y Seguros
Comercio Internacional
Educación
Gastronomía
Hotelería, Turismo
Otro";dictionary_course_area.csv;
34;D9_3_4_O_postdoc_area_other;Área Pos Doctorado - Otros;Educación;Texto ;Escrito por el participante ;dictionary_courses.csv;
35;D10_1_student;Estado profesional [Soy estudiante];Carrera;Dicotómica;"Si 
No";dictionary_si_no.csv;
36;D10_2_intership;Estado profesional [Estoy realizando prácticas ];Carrera;Dicotómica;"Si 
No";dictionary_si_no.csv;
37;D10_3_worker;Estado profesional [Estoy trabajando];Carrera;Dicotómica;"Si 
No";dictionary_si_no.csv;
38;D11_professional_area;Sector profesional  Responde si actualmente estás trabajando en alguno de estos sectores - Listado de sectores económicos;Carrera;Factor;"Agricultura/Ganadería
Administración pública y defensa
Alojamiento y restaurantes
Comercio
Construcción
Electricidad, gas y agua
Extracción de petróleo, gas, minerales y servicios conexos
Manufactura
Pesca y acuicultura
Telecomunicaciones y otros servicios de información
Transporte, almacenamiento, correo y mensajería
Educación
Publicidad/Marketing
Consultoría
Sector público
Tecnología e Informática
Otro";dictionary_D11_professional_area.csv;
39;D11_O_professional_area_other;Sector profesional  Responde si actualmente estás trabajando en alguno de estos sectores - Listado de sectores económicos  [Otro];Carrera;Texto ;Escrito por el participante ;dictionary_D11_O_professional_area_other.csv;
40;D12_1_years_experience_total;Años de experiencia laboral Años de trabajo – Total;Carrera;Texto numérico ;Escrito por el participante;;
41;D12_2_1_years_experience_technology;Años de experiencia laboral  Años de trabajo – Por sector  [TI];Carrera;Texto numérico ;Escrito por el participante;;
42;D12_2_2_years_experience_engineering;Años de experiencia laboral  Años de trabajo – Por sector  [Ingeniería];Carrera;Texto numérico ;Escrito por el participante;;
43;D12_2_3_years_experience_science;Años de experiencia laboral  Años de trabajo – Por sector  [Ciencias];Carrera;Texto numérico ;Escrito por el participante;;
44;D12_2_4_years_experience_other_sectors;Años de experiencia laboral  Años de trabajo – Por sector  [Otros sectores];Carrera;Texto numérico ;Escrito por el participante;;
45;D13_being_in_stem_career;¿Está en una carrera STEM ?  Las carreras STEM hacen referencias a aquellas relacionadas a las áreas de ciencias, tecnología, ingeniería y matemáticas, las cuales son áreas de estudio muy importantes para ayudar al desarrollo de una sociedad cada vez más tecnológica.;Carrera;Dicotómica;"Si 
No";dictionary_si_no.csv;
46;D14_1_organizational_leader;Actualmente, dirijo [Una organización];Liderazgo;Dicotómica;"Si 
No";dictionary_si_no.csv;
47;D14_2_unit_leader;Actualmente, dirijo [Una unidad interna];Liderazgo;Dicotómica;"Si 
No";dictionary_si_no.csv;
48;D14_3_group_leader;Actualmente, dirijo [Un grupo de personas];Liderazgo;Dicotómica;"Si 
No";dictionary_si_no.csv;
49;D15_women_in_my_classroom;Durante la universidad, qué porcentaje de personas en mi clase eran/son mujeres;Igualdad de género;Texto numérico ;Escrito por el participante ;;
50;D16_women_in_my_business_unit;En mi organización actual, qué porcentaje de personas trabajando mi unidad de negocios son mujeres;Igualdad de género;Texto numérico ;Escrito por el participante ;;
51;D17_have_a_laptop;Tengo una computadora/portátil que funciona bien;Equipos;Dicotómica;"Si 
No";dictionary_si_no.csv;
52;D18_have_wifi;Tengo conectividad estable a Internet las 24 horas del día, los 7 días de la semana;Equipos;Dicotómica;"Si 
No";dictionary_si_no.csv;
53;D19_have_electricity;Tengo energía eléctrica permanente;Equipos;Dicotómica;"Si 
No";dictionary_si_no.csv;
54;A1_1_snb;Me siento poco aceptada/o por las personas con las que trabajo/estudio.;Factores individuales: Factores individuales;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
55;A1_2_snb;Siento que estoy conectada/o vinculada/o con uno o más de mis compañeros durante mi experiencia laboral/académica.;Factores individuales: Factores individuales;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
56;A1_3_snb;Me siento como un extraña/o durante mi experiencia laboral o académica.;Factores individuales: Factores individuales;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
57;A2_1_selfeff;Me siento cómoda/o con mi nivel de conocimiento para trabajar en campos STEM;Factores individuales: autoeficacia;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
58;A2_2_selfeff;Tengo un fuerte conjunto de valores personales en los que creo;Factores individuales: autoeficacia;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
59;A2_3_selfeff;Me apasiona seguir una carrera en los campos de STEM porque me brinda una herramienta para ayudar a los demás.;Factores individuales: autoeficacia;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
60;A2_4_selfeff;Confío en mi capacidad para trabajar en campos STEM.;Factores individuales: autoeficacia;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
61;A3_1_selfconf;Soy un gran fracaso;Factores individuales: Confianza en sí mismo;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
62;A3_2_selfconf;Tengo bastante éxito;Factores individuales: Confianza en sí mismo;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
63;A3_3_selfconf;No soy lo suficientemente inteligente;Factores individuales: Confianza en sí mismo;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
64;A3_4_selfconf;Soy muy inteligente;Factores individuales: Confianza en sí mismo;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
65;A3_5_selfconf;Soy más brillante que otras personas.;Factores individuales: Confianza en sí mismo;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
66;A3_6_selfconf;Soy más tonta/o que otras personas.;Factores individuales: Confianza en sí mismo;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
67;A4_1_indep;Gano mi propio sustento;Factores individuales: Independencia;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
68;A4_2_indep;Pago por mi propio alquiler o hipoteca;Factores individuales: Independencia;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
69;A4_3_indep;Pago mis cuentas;Factores individuales: Independencia;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
70;A4_4_indep;Administro mi propio dinero;Factores individuales: Independencia;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
71;A5_1_women_ident;Me gusta hacer el mismo tipo de cosas que la mayoría de las mujeres.;Factores individuales: identidad de género;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
72;A5_2_women_ident;A veces la gente dice que actúo más como un hombre que como una mujer.;Factores individuales: identidad de género;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
73;A5_3_women_ident;A veces pienso que es más fácil ser hombre que ser mujer.;Factores individuales: identidad de género;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
74;A5_4_women_ident;Me gustaría que las mujeres pudieran hacer más de las cosas que los hombres pueden hacer.;Factores individuales: identidad de género;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
75;A5_5_women_ident;A veces pienso que es más divertido ser hombre.;Factores individuales: identidad de género;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
76;A5_6_women_ident;Creo que es injusto que a las mujeres no se les permita hacer ciertas  cosas que los hombres pueden hacer.;Factores individuales: identidad de género;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
77;A6_1_bullying;Mis compañeros se burlaban de mí.;Factores individuales: consecuencias del bullying;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
78;A6_2_bullying;Mis compañeros me hicieron avergonzar.;Factores individuales: consecuencias del bullying;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
79;A6_3_bullying;Mis compañeros no me permiten participar en proyectos o actividades especiales.;Factores individuales: consecuencias del bullying;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
80;A6_4_bullying;Mis compañeros me eligieron en último lugar.;Factores individuales: consecuencias del bullying;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
81;A6_5_bullying;Nadie me ayudó cuando pedí ayuda.;Factores individuales: consecuencias del bullying;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
82;A7_1_meaning;El trabajo que hago es muy importante para mí.;Factores individuales: significado;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
83;A7_2_meaning;Mis actividades laborales son personalmente significativas para mí;Factores individuales: significado;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
84;A7_3_meaning;El trabajo que hago es significativo para mí.;Factores individuales: significado;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
85;B1_01_nerd;Creo que las personas en carreras STEM   [Tienen dificultad para salir con alguien.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
86;B1_02_nerd;Creo que las personas en carreras STEM   [Son socialmente torpes.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
87;B1_03_nerd;Creo que las personas en carreras STEM   [No son atractivas/os.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
88;B1_04_nerd;Creo que las personas en carreras STEM   [No tienen muchas/os amigas/os.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
89;B1_05_nerd;"Creo que las personas en carreras STEM   [Son nerds (""geeky"").]";Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
90;B1_06_nerd;Creo que las personas en carreras STEM   [Son introvertidas/os.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
91;B1_07_genius;Creo que las personas en carreras STEM   [Son dotadas/os en matemáticas.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
92;B1_08_genius;Creo que las personas en carreras STEM   [Son naturalmente muy inteligentes.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
93;B1_09_genius;Creo que las personas en carreras STEM   [Son genias/os.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
94;B1_10_genius;Creo que las personas en carreras STEM   [Están obsesionadas/os con las computadoras.];Factores educativos: estereotipos relacionados con las carreras de TI;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";dictionary_likert.csv;
95;B2_mentor;Tengo un mentor;Factores educativos: calidad de la mentoría;Dicotómica;"Si 
No";dictionary_si_no.csv;
96;B2_1_mentorship_quality;Mi(s) mentor (es) y yo nos beneficiamos de nuestra relación;Factores educativos: calidad de la mentoría;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
97;B2_2_mentorship_quality;Utilicé efectivamente la mentoría;Factores educativos: calidad de la mentoría;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
98;B2_3_mentorship_quality;Disfruté de la(s) relación(es) de mentoría de alta calidad;Factores educativos: calidad de la mentoría;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
99;B3_1_gender_equality;Mis compañeras/os de clase son tratadas/os de manera diferente por sus profesoras/es dependiendo de su género;Factores educativos: percepción institucional de la igualdad de género;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
100;B3_2_gender_equality;La igualdad de género es parte de las políticas de mi institución;Factores educativos: percepción institucional de la igualdad de género;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
101;B3_3_gender_equality;Las personas de mi organización reciben el mismo apoyo institucional, independientemente de su género.;Factores educativos: percepción institucional de la igualdad de género;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
102;B3_4_gender_equality;Mis compañeras/os tratan a sus pares de otros géneros por igual.;Factores educativos: percepción institucional de la igualdad de género;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
103;B3_5_gender_equality;Las/los profesoras/es /líderes de mi facultad/unidad de negocios tratan a todas/os los estudiantes/personal por igual, independientemente de su género.;Factores educativos: percepción institucional de la igualdad de género;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
104;B4_1_peer_group_interac;Desde que llegué a esta Institución he desarrollado una estrecha relación personal con otros compañeras/os;Factores educativos: interacciones entre pares y grupos;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
105;B4_2_peer_group_interac;Las amistades de las/os  compañeras/os que desarrollé en esta Institución fueron personalmente satisfactorias;Factores educativos: interacciones entre pares y grupos;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
106;B4_3_peer_group_interac;Mis relaciones interpersonales con otras/os compañeras/os han influido positivamente en mi crecimiento personal, actitudes y valores.;Factores educativos: interacciones entre pares y grupos;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
107;B4_4_peer_group_interac;Mis relaciones interpersonales con otras/os compañeras/os influyeron positivamente en mi crecimiento intelectual e interés en ideas.;Factores educativos: interacciones entre pares y grupos;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
108;B4_5_peer_group_interac;Me ha costado conocer y hacer amistad con otras/os compañeras/os.;Factores educativos: interacciones entre pares y grupos;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
109;B4_6_peer_group_interac;Pocos de las/os compañeras/os que conozco estarían dispuestos a escucharme y ayudarme si tuviera un problema personal;Factores educativos: interacciones entre pares y grupos;Factor Likert;"Totalmente en desacuerdo
En desacuerdo
Algo en desacuerdo
Ni de acuerdo ni en desacuerdo
Algo de acuerdo
De acuerdo
Totalmente de acuerdo";;
